,u_a,u_b,N_u,mean_u,v_a,v_b,N_v,mean_v,w_a,w_b,N_w,mean_w
 u less than 0.5 ,1335.5011701,124.663031468,24,-0.0878863069168,515.075445284,92.7070106343,27,-0.00445719419205,66.8810799876,72.4609126763,13,0.0120693521592
 u between 0.5 and 1.0 ,123.60892566,21.7155332671,31,-0.287171924907,250.316747441,44.0578008124,25,0.00559233263747,450.755476086,1972.5224893,16,0.0369756150626
 u between 1.0 and 1.5 ,131.439054539,24.5703387504,47,0.419817252728,105.640628624,19.246999011,36,0.00877307482287,101.238111547,211.647910893,24,0.0637039591974
 u between 1.5 and 2.0 ,143.862230065,29.631221073,29,0.177529989776,122.959994999,19.9419784726,18,0.0852757577971,90.8063281422,266.049536012,42,0.087133047778
 u greater than 2.0 ,597.596916791,95.462711376,1,2.07550361962,138.325139895,33.9497574609,26,0.42377418521,122.2123004,453.706749232,37,0.122658415078
